Date,Actual Load,Forecast
2024-02-02 00:00:00+00:00,247085.66666666666,220870.2026985398
2024-02-03 00:00:00+00:00,215336.5,191090.42955678774
2024-02-04 00:00:00+00:00,205154.45833333334,180233.64492878714
2024-02-05 00:00:00+00:00,241637.375,219633.08096580845
2024-02-06 00:00:00+00:00,249450.95833333334,224986.97007275143
2024-02-07 00:00:00+00:00,248851.16666666666,226093.12274418084
2024-02-08 00:00:00+00:00,243574.04166666666,225811.01974256535
2024-02-09 00:00:00+00:00,241339.33333333334,220894.54348252204
2024-02-10 00:00:00+00:00,202488.20833333334,191111.6309547973
2024-02-11 00:00:00+00:00,193873.91666666666,180252.11184743227
2024-02-12 00:00:00+00:00,229218.54166666666,219649.16608831275
2024-02-13 00:00:00+00:00,239373.625,225000.98059453635
2024-02-14 00:00:00+00:00,237124.04166666666,226105.3262397174
2024-02-15 00:00:00+00:00,233251.875,225821.6492755404
2024-02-16 00:00:00+00:00,233419.33333333334,220903.80205691405
2024-02-17 00:00:00+00:00,200192.70833333334,191119.6953918684
2024-02-18 00:00:00+00:00,191887.58333333334,180259.13616267996
2024-02-19 00:00:00+00:00,236363.08333333334,219655.28443287467
2024-02-20 00:00:00+00:00,240166.70833333334,225006.30981722331
2024-02-21 00:00:00+00:00,243038.375,226109.9681186047
2024-02-22 00:00:00+00:00,242830.70833333334,225825.69246173662
2024-02-23 00:00:00+00:00,239969.95833333334,220907.32376762948
2024-02-24 00:00:00+00:00,202783.25,191122.76288511787
2024-02-25 00:00:00+00:00,193149.95833333334,180261.80802178365
2024-02-26 00:00:00+00:00,233718.75,219657.61168528872
2024-02-27 00:00:00+00:00,237800.66666666666,225008.33690906782
2024-02-28 00:00:00+00:00,239198.125,226111.73376350047
2024-02-29 00:00:00+00:00,241978.66666666666,225827.23038016216
2024-03-01 00:00:00+00:00,232346.33333333334,220908.6633309184
2024-03-02 00:00:00+00:00,196915.29166666666,191123.92967639575
2024-03-03 00:00:00+00:00,185704.25,180262.8243245574
2024-03-04 00:00:00+00:00,235945.41666666666,219658.4969090194
2024-03-05 00:00:00+00:00,244125.04166666666,225009.10795985465
2024-03-06 00:00:00+00:00,238307.79166666666,226112.40536695535
2024-03-07 00:00:00+00:00,237197.66666666666,225827.81536264103
2024-03-08 00:00:00+00:00,229708.54166666666,220909.17286448035
2024-03-09 00:00:00+00:00,202822.58333333334,191124.37349216826
2024-03-10 00:00:00+00:00,195849.66666666666,180263.21089858242
2024-03-11 00:00:00+00:00,234634.20833333334,219658.8336241297
2024-03-12 00:00:00+00:00,234955.20833333334,225009.40124667218
2024-03-13 00:00:00+00:00,237053.66666666666,226112.66082670362
2024-03-14 00:00:00+00:00,233069.0,225828.03787411816
2024-03-15 00:00:00+00:00,229989.5,220909.3666772348
2024-03-16 00:00:00+00:00,202636.0,191124.54230765707
2024-03-17 00:00:00+00:00,183760.125,180263.3579408622
2024-03-18 00:00:00+00:00,228679.29166666666,219658.96170142994
2024-03-19 00:00:00+00:00,230963.08333333334,225009.51280502707
2024-03-20 00:00:00+00:00,225801.25,226112.7579966668
2024-03-21 00:00:00+00:00,227987.95833333334,225828.12251145218
2024-03-22 00:00:00+00:00,227521.66666666666,220909.44039835266
2024-03-23 00:00:00+00:00,197010.16666666666,191124.60652049273
2024-03-24 00:00:00+00:00,190132.04166666666,180263.41387175937
2024-03-25 00:00:00+00:00,220577.45833333334,219659.010418563
2024-03-26 00:00:00+00:00,229284.25,225009.55523880114
2024-03-27 00:00:00+00:00,227809.75,226112.79495748668
2024-03-28 00:00:00+00:00,225951.41666666666,225828.15470519967
2024-03-29 00:00:00+00:00,186522.875,220909.46843986746
2024-03-30 00:00:00+00:00,179594.75,191124.6309453147
2024-03-31 00:00:00+00:00,151186.83333333334,180263.43514635647
2024-04-01 00:00:00+00:00,169978.45833333334,219659.0289492398
2024-04-02 00:00:00+00:00,216656.5,225009.5713794585
2024-04-03 00:00:00+00:00,218283.04166666666,226112.80901638063
2024-04-04 00:00:00+00:00,218505.04166666666,225828.1669508285
2024-04-05 00:00:00+00:00,212700.54166666666,220909.47910609952
2024-04-06 00:00:00+00:00,180135.66666666666,191124.6402358549
2024-04-07 00:00:00+00:00,172049.75,180263.44323863648
2024-04-08 00:00:00+00:00,208528.54166666666,219659.0359978069
2024-04-09 00:00:00+00:00,219875.16666666666,225009.57751892702
2024-04-10 00:00:00+00:00,217285.04166666666,226112.81436400278
2024-04-11 00:00:00+00:00,220580.04166666666,225828.17160873377
2024-04-12 00:00:00+00:00,212117.625,220909.48316324505
2024-04-13 00:00:00+00:00,179804.04166666666,191124.64376972453
2024-04-14 00:00:00+00:00,170992.16666666666,180263.44631672042
2024-04-15 00:00:00+00:00,213065.75,219659.03867889076
2024-04-16 00:00:00+00:00,222034.70833333334,225009.57985421442
2024-04-17 00:00:00+00:00,219867.66666666666,226112.81639809327
2024-04-18 00:00:00+00:00,219319.29166666666,225828.17338047465
2024-04-19 00:00:00+00:00,221455.875,220909.48470647325
2024-04-20 00:00:00+00:00,184618.25,191124.64511391273
2024-04-21 00:00:00+00:00,176656.79166666666,180263.4474875401
2024-04-22 00:00:00+00:00,215238.54166666666,219659.03969870237
2024-04-23 00:00:00+00:00,220682.45833333334,225009.58074249444
2024-04-24 00:00:00+00:00,220660.875,226112.81717180615
2024-04-25 00:00:00+00:00,217204.33333333334,225828.17405439686
2024-04-26 00:00:00+00:00,212290.0,220909.48529347542
2024-04-27 00:00:00+00:00,177512.79166666666,191124.64562520548
2024-04-28 00:00:00+00:00,172541.08333333334,180263.44793288817
2024-04-29 00:00:00+00:00,205590.29166666666,219659.04008661106
2024-04-30 00:00:00+00:00,205196.70833333334,225009.58108037207
2024-05-01 00:00:00+00:00,160734.125,226112.81746610557
